name,team,jersey_number
"SMITH, Robbie",Edmonton Elks,40
"MAYALA, Hergy",,1
"FONTANA, Alex",,53
"MCINNIS, Justin",BC Lions,18
"KONGBO, Jonathan",Edmonton Elks,3
"Desjarlais, Drew",Ottawa Redblacks,61
"BETTS, Mathieu",BC Lions,90
"GIBBON, Jesse",Montreal Alouettes,67
"RICHARDS, Shane",Toronto Argonauts,66
"ROUNDTREE, T.J.",,0
"BAKER JR, Delroy",,0
"BUTLER, James",BC Lions,20
"WHITE JR., Reggie",,84
"LEWIS, Josh",,0
"WILLIAMS, Preston",,0
"BROWN, Blace",,28
"CORNELIUS, Taylor",,15
"DOLEGALA, Jake",Hamilton Tiger-Cats,15
"BATTLE, Elijah",,0
"NEAL, Rickey",,0
"RIOS, Marcus",,39
"JONES, Mike",,9
"STOCKTON, Justin",,0
"ALLEN, James",,0
"FLACCO, Tom",,0
"SCHIFFNER, Vincent",,0
"WILLIAMS, Raekwon",,0
"JERNIGAN, Davon",,0
"DIGGS, Vontae",,13
"JACKSON, Malique",,0
"ROBINSON, Johnny",,0
"ROGERS, Nate",,0
"DE LA HAYE, Donald",,19
"HANSEN, Justice",,0
"BALDWIN, Charles",,0
"BROWN, Joe",,0
"TIANO, Nick",,0
"STEWART, Josh",,0
"BOUTTE, Christian",,0
"BECK, Jason",,0
"BOYNTON, Malik",,0
"GREENE, Darrell",,0
"STEVENS, Mike",,0
"JOHNSON, Leon",,50
"MYERS, Marko",,0
"ALLENSWORTH, Darius",,0
"HARPER, Jarrod",,0
"BOLDEN, Ray",,0
"GORE, Anthony",,0
"LETULI, Jovann",,0
"FAULK, Jeremy",,0
"ANKRAH, Andrew",,0
"SANCHEZ, Zack",,0
"PROSSER, Kevin",,0
"SIMMONS, Joshua",,0
"SANTIAGO, John",,0
"DEAN, Jhavonte",,0
"BALDWIN, Terrance",,0
"IDOWU, Oluwaseun",,49
"SHIPPY, Sterling",,0
"NELSON JR., Picasso",,0
"THOMAS, Lexington",,0
"OLLIE, Ronald",,0
"KOUANDJIO, Cyrus",,0
"SEARS, Cole",,0
"MURRAY, Jordan",Hamilton Tiger-Cats,69
"MAULDIN IV, Lorenzo",Calgary Stampeders,91
"WALTON, William",,0
"WILSON, Malik",,0
"BUCHANAN, Collin",,0
"VICTOR, Azeem",,95
"ROBERTS, Stephen",,0
"CRUMP, Koron",,0
"GALLOWAY, LaDarius",,0
"BROWN, Frank",,0
"GILBERT, Jamari",,24
"WAY, Jamarius",,0
"FRANKLIN JR, Marloshawn",,37
"FLEMING, Maurice",,30
"HENDERSON, Tyshon",,0
"REDMON, Quincy",,0
"GRAVES, Chester",,0
"MCKNIGHT, Kelvin",,16
"SIMS, Tee",,0
"FIELDS, Shay",,0
"GANGI, Ty",,0
"POWERS, Justice",,0
"ELSTON, Trae",,0
"HOLLEY, Nate",,40
"PECK, Aaron",,80
"PRICE, Norman",,0
"BOESEN, Mat",,71
"SEYMOUR, DeVondre",,0
"MOORE, Hayden",,3
"TAYLOR, Kelvin",,0
"VICKERS, Kendal",,97
"HEARNS, James",,0
"PRICE, EJ",,0
"ROBERTS, Tyron",,0
"HITNER, Brandon",,0
"MCCLAIN, Kishawn",,0
"CALHOUN, Kendall",,0
"CRAWFORD, Tre'",,49
"SORENSEN, Ben",,0
"BAILEY, Caleb",,0
"MCKNIGHT, Gary",,0
"HOWELL, Tyler",,0
"CLAY, B.J.",,0
"THOMPSON, Mykkele",,0
"WARREN, Dale",,0
"OKEKE, Tobenna",,0
"BOBO, Bryce",,0
"CALHOUN, DJ",,0
"COOK, Troy",,0
"COOPER, Christopher",,0
"CARTER, Ryan",,25
"PONCHILLIA, Dalton",,47
"TAYLOR, Marcus",,0
"DAVIS, Kyle",,0
"CERGE-HENDERSON, Kyle",,0
"JENKINS, Josh",,0
"HART, Penny",,81
"PIERRE, Deion",,0
"JOHNSON, Garrett",,0
"KETTER, Carson",,25
"MCCOIN, Brock",,0
"REDDING, Devine",,0
"WILLIAMS, Jarveon",,0
"SIMMONS, Jalen",,0
"SAINT-FLEUR, Joby",,0
"FIELDS, Mark",,0
"DAVIS, Ryan",,15
"ARMSTRONG, Ka'John",,66
"TATE, Trevon",Saskatchewan Roughriders,64
"AUSTIN, Jaelen",,87
"JOHNSON, Isaiah",,0
"ALLEN, Floyd",,87
"KNIPP, Jacob",,0
"BRAVERMAN, Daniel",,87
"RICHARD, Hugo",,6
"CLARK, Lane",,0
"MORTON, Lonte",,93
"KING, Jamarcus",,47
"ANDERSON, Drew",,0
"OSBORNE, DeQuinton",,91
"NORRIS, Elijah",,79
"APELU, Kaulana",,0
"IWEH, Jerry",,0
"JEROME, Lorenzo",,20
"LAWRY, Ray",,0
"MOSBY, Damani",,0
"JONES WILLIAMS, Deaundre",,72
"SAMUELS, Oshane",,25
"PRUITT, Jimmy",,0
"THOMAS, Simeon",,0
"PHILIPS, Ervin",,86
"BELL, Ricarlo",,0
"WILSON, Travis",,0
"DAVIS, Taye",,0
"LOGGALE, Mandella",,0
"CLEVELAND, Josh",,35
"JOHNSON, Gary Jr.",Calgary Stampeders,56
"BYRD, Dontez",,0
"CLARK, Evan",,0
"HOLSEY, Kamathi",,85
"PINDELL, David",,0
"LEWIS, Ike",,89
"TEXADA, Ranthony",,47
"DOMAGALA, Michael",,79
"OUELLET, Gabriel",,0
"ABSHER, Dante",,19
"HOPE JR, Larry",,34
"BLUNT, Bryan",,29
"GREEN, Marcus",,17
"DEDMON, Devonte",Ottawa Redblacks,17
"HARKER, Isaac",,16
"HOLINES, Sha-ki",,0
"LOVE, Damian",,57
"TUCKER, Travion",,0
"HARVEY, Nate",,0
"HOLMES, Dante",,96
"SWANSON, Terry",,0
"BEVERETTE, Tyrice",Montreal Alouettes,26
"FOGGIE, Juwan",,49
"PERKINS, Bryce",Winnipeg Blue Bombers,0
"BROUSSEAU, Charles",,0
"GIBBS, Christian",,0
"REAVES, Malik",,0
"TSHIAMALA, Daniel",,0
"MORRIS, Drew",,0
"MAIER, Jake",Saskatchewan Roughriders,9
"MCCLAIN, Devonte",,0
"MCDOWDELL, Lance",,0
"ANDERSON, Joseph",,0
"ERBES, Andrew",,0
"OPARA, Kingsley",,97
"KOROL, Lukas",,40
"PATTERSON, Damoun",,0
"BROWN, Alex",,0
"HUFF, Josh",,9
"PALKA, Tyler",,0
"WINN, Dresser",,0
"BATSON, Tyler",,0
"CHOUDJA, Patrick",,99
"AYERS, Demarcus",,0
"BROWN, Drew",,34
"BRYANT, Kelly",,0
"BADIE, Sherman",,28
"SCHLEUGER, Chris",BC Lions,57
"SMITH, J'Mar",,0
"PERRIZO, Evan",,0
"CUSTIS, Jamal",,0
"PIPPINS, Marcellus",,39
"CAMPBELL, Christian",,38
"SMALLWOOD, Jordan",,18
"SIMMONS, Austin",,13
"LANNING, Joel",,0
"ROSE-IVEY, Michael",,0
"LANGFORD, Jeremy",,0
"DURR, Lashard",,0
"KIDSY, Darvin",,0
"MCDOUGLE, Dexter",,0
"ROSS, Kayaune",,0
"HOLMES, Gerald",,0
"FOREMAN, Armanti",,0
"WILSON, Kyle",Calgary Stampeders,31
"OLUMBA, Donovan",,5
"SPRINKLE, Tracy",,93
"FERNANDEZ, Jerod",,35
"BEAL, Emmanuel",,0
"PORTER, Marcus",,0
"MCDONALD, Cole",,13
"BRYANT, Martavis",,0
"HENDERSON, Carlos",,80
"GREEN, TJ",,0
"GWACHAM, Obum",,98
"DAVIS, Jawill",,0
"LONG, Warren",,0
"COLEMAN, Amari",,0
"SPRUCE, Nelson",,0
"HOLLEY, Nick",,33
"COMPTON, Louy",,0
"WOODSON, Blaine",,73
"GENTRY, Tanner",,0
"LITTON, Chase",,0
"MCCRAY, LJ",,21
"GARCIA, Antonio",Winnipeg Blue Bombers,51
"GRANT, Janarion",Toronto Argonauts,3
"AGUDOSI, Carlton",,16
"BRAY, Quan",,86
"SMITH, Brandon",,0
"WILSON, Tim",,0
"SHELDON, Brady",,42
"HENDERSON, Zaycoven",,0
"FREY, Chris",,23
"ESTE, Joseph",,0
"SIMMONS, Antonio",,37
"DIARSE, John",,0
"MCGLOSTER, Jamar",Montreal Alouettes,61
"FINE, Mason",,8
"BATSON, Cameron",,0
"DADE, Davond",,0
"PARKER, Zac",,79
"BLAKE, Valentino",,0
"JOHNSTONE, Tyler",,60
"HERNDON, Javontee",,0
"HAYNES, Kevin",,42
"SAMPLE, James",,0
"JONES, Malachi",,83
"NICOLAS, Dadi",,0
"BELL, Carson",,0
"DORMADY, Quinten",,12
"DAMM, Spencer",,0
"BROWN, Zed",,0
"UGBAH, Stephen",,0
"DOWNEY, Da'Sean",,94
"GRAYSON, Davon",,0
"WHITE, Kyle",,16
"DANIELS, Reggie",,36
"LUKAS, Tim",,0
"HALL, Reggie",,35
"CALDWELL, Trey",,0
"MARSHALL, Jalin",,7
"BREWER, Charlie",,0
"BROWN, Dru",Ottawa Redblacks,3
"MCGUIRE, Sean",,12
"CROCKETT, Josh",,82
"LAWRENCE, Desmond",,22
"NORTHNAGEL, Brad",,0
"TALIAFERRO, Lorenzo",,0
"MCKNIGHT, Maurice",,40
"PERTILE, Brandon",,0
"ROBINSON, Gelen",,0
"ATKINSON, George",,0
"PRIESTER, Robert",Ottawa Redblacks,23
"GOLDSBY, David",,0
"MORROW, Jamal",,25
"GATES, DeMarquis",,42
"IVORY, Aaron",,37
"PITTMAN, Lawrence",,35
"MAINSAH, Tafon",,0
"CARNELL IV, Maurice",,39
"DEAN, David",,0
"THOMAS, Jordan",,39
"BELL, Vondel",,0
"SANDERS, D.J.",,0
"ROSE, Jordan",,0
"CARR, Jason",,78
"FRAZIER, Marcell",,0
"CRAWFORD, James",,0
"LUCAS, Keevan",,71
"BELL, Mitchell",,0
"JENKINS, Courtel",,77
"OGUNDEKO, Ebenezer",,93
"CAGE, Isiah",,66
"AMOAH, Chris",,77
"REDDINGTON, John",,0
"COBB, David",,26
"GRAHAM, James",,0
"WASHINGTON, Trumaine",,45
"MCPHEARSON, Joshua",,32
"OLIVER, Marcus",,0
"GARDNER, Timothy",,62
"MCBRYDE, BJ",,0
"BRADLEY, Quinton",,0
"JORDAN, Avery",,58
"BARRY, Hassan",,95
"BERRYMAN, Peter",,82
"RYAN, Shakeir",,83
"WADOOD, Jaleel",,0
"SHED, Brandon",,0
"DAVIS, Devron",,24
"COVINGTON, Anthony",,37
"ANAU, Siupeli",,0
"HOLMES, Colton",,0
"PETERS, Cody",,0
"PICTON, Noah",,4
"HUMES, Chris",,8
"VIEIRA, Bryce",,75
"BONNER, Linell",,0
"ALLEN, Chance",,0
"SANTINI, Chris",,0
"GAMBOA, Victor",,27
"PEIRSON, Andrew",BC Lions,54
"NORMAN, Phillip",,50
"MWEHLA, Reuben",,0
"CREER, Breion",,0
"PATTERSON, David",,0
"MCKINZY, Cassanova",,54
"SNEED, Dalton",,0
"STACY, Zac",,20
"O'CONNOR, Mitch",,0
"GREEN, John",,19
"GINGRAS-GAGNON, Simon",,44
"KRAHN, Curtis",,61
"GUZYLAK-MESSAM, Isaiah",BC Lions,44
"GREEN, Tanner",Edmonton Elks,27
"DAVIS, Marcus",,5
"COTE, Mickael",,39
"ONYEKA, Kene",Ottawa Redblacks,99
"BROWN, David",,66
"BAKKER, KC",,60
"PETERMANN, Daniel",,88
"ANZOVINO, Kain",,51
"ROWE, Boston",,39
"METCHIE, Royce",Edmonton Elks,9
"KOCZWARA, Ben",,65
"PARISOTTO, Nicholas",,36
"ZERR, Blair",,73
"BEAULIEU, Jordan",,24
"CZAJA, Jacob",,69
"POULIN, Jean-Gabriel",,49
"PICKETT, Andrew",,57
"KNEVEL, David",Ottawa Redblacks,63
"VAN PELT, Joel",,98
"IDOWU, Lekan",,22
"CIBASU, Regis",Montreal Alouettes,3
"BANNER, Bo",,48
"KWEMO, Nelkas",,12
"MEZZALIRA, Eric",,33
"FERRARO, Gabriel",,18
"LOISELLE, Mathieu",,42
"MACKIE, David",,34
"FIRLOTTE, Jacob",,42
"WADE, Brett",,58
"BAGNELL, Gabriel",,95
"TEITZ, Micah",Calgary Stampeders,42
"NKETIAH, Richmond",,12
"DUBOIS, Marco",Ottawa Redblacks,89
"HOWELL, Justin",Ottawa Redblacks,21
"SIMONISE, Rashaun",,3
"BENNETT, Jackson",,22
"WATSON, William",,85
"ONYEKA, Godfrey",Calgary Stampeders,27
"HUNTER, Ryan",Toronto Argonauts,62
"MCMASTER, Harry",,88
"SCEVIOUR, Ryan",Toronto Argonauts,54
"MBAYE, Khadim",,59
"LAURENT, Julien",,99
"CIRACO, Darius",Toronto Argonauts,53
"MOISAN, Etienne",,84
"SIMON, Atlee",,36
"SHEPLEY, Dakoda",,64
"KORTE, Mark",Edmonton Elks,65
"OUELLETTE DE CARLO, Matthew",,60
"GODBER, Peter",Ottawa Redblacks,51
"TAYLOR, Alex",,33
"RUTHERFORD, Trey",,66
"HENRY, Rashari",,79
"KOZACHUK, Paul",,40
"BUAMA-MAFUTA, Tresor",,94
"MOORE, Mike",,45
"HARRINGTON, Sean",,99
"MAXWELL, Dagogo",,26
"PIERRE, Tyrone",,73
"LAWRENCE, Justin",Montreal Alouettes,54
"STONE, Ryder",,32
"BUREN, Justin",,82
"BRETON, Mathieu",,54
"ALEXIS, Zacary",,0
"LATOUR, Maxime",,53
"CHERRY, Keiler",,0
"JACKSON, Darius",,0
"BAXTER, Jarvis",,0
"CROCKETT, John",,32
"JOHNSON, Denzel",,0
"YOUNG, Avery",,0
"RODGERS, Na'ty",,51
"MASON, Tre",,10
"ALEXANDER, Deontez",,81
"THOMAS, Jhaustin",,42
"HOLLEY, Ronnie",,0
"CARTER, Deion",,0
"ROBINSON, Jordan",,22
"BRIHM, Larry",,17
"RAMSAY, Mike",,0
"DORNEVIL, Jules",,0
"KING, Jamar",,0
"WIENEKE, Jake",,1
"LAULILE, Tomasi",BC Lions,92
"CAREY, Ka'Deem",Saskatchewan Roughriders,29
"REDDING, Teo",,0
"TOWNER, Kylen",,71
"ELAM, Matt",,22
"POWELL, Damond",,71
"TABUYO, Jeremy",,0
"MORGAN, Teldrick",,0
"BROWN, Wes",,0
"HOUGHTON, Dalton",,69
"ELLISON, Christian",,0
"HARRIS, Orlandus",,29
"JOHNSON, Antoine",,0
"PITTMAN, Brandon",,47
"STEWART, Tyler",,0
"AUGUSTIN, Joey",,0
"RILES, Al",,0
"COOPER, Tyneil",,26
"OPARAKU, Chinedu",,0
"RANDLE, Rueben",,80
"LEAK, Marcus",,0
"WILLIAMS, Charles",,0
"JAMES, Craig",,0
"MAYS, Willie",,0
"STEPHENS, Frank",,0
"COATE, Seth",,87
"BAILEY, Terrance",,0
"JACKSON, Jeremy",,0
"GRAY, Daniel",,0
"BUTLER, Dejuan",,0
"POWELL, Drew",,0
"GORE, Jakhari",,36
"JOHNSON, Drico",,31
"BARNES, Zachary",,91
"DOWLING, Jonathan",,24
"ADEOYE, Aaron",,51
"STEWART, Brandon",,0
"ROBINSON, Ezra",,0
"OGBONDA, Shalom",,0
"WILSON, Raheem",,21
"COZART, Montell",,12
"BRAGLIO, Roman",,0
"DUNCAN, Caleb",,0
"MCROBERTS, Paul",,0
"AMOS, DaShaun",Hamilton Tiger-Cats,8
"O'NEAL, Cedric",,0
"TOLLIVER, Jalen",,88
"ACKLIN, Jaelon",,23
"STEVENS, Tony",,0
"STENGER, Sean",,0
"JACOBS, Levern",,0
"KASITATI, Nila",,62
"GETER, Chad",,91
"HERD, Steffon",,45
"PIERSON-EL, De'Mornay",,82
"DYE, Donteea",,77
"BROXTON, Jarell",BC Lions,69
"LLOYD, Ricky",,19
"HAVILI, Albert",,0
"CONEY, AJ",,88
"WEAVER, Macklin",,0
"FACIANE, Isame",,69
"JONES, JJ",,0
"JACKSON, Blake",,87
"REINEKE, Keith",,43
"ROSS, Nate",,0
"KELLY, Anthony",,78
"BUTLER, Devin",,14
"REID, Ryan",,29
"CALLENDER, Nick",Montreal Alouettes,62
"ROBINSON, Tyree",,49
"WILLIAMS-LAMBERT, Jordan",,17
"FORRESTER, Malik",,0
"DEMPSEY, Tre",,0
"CHEEK, Bryce",,0
"ROBINSON, Tyrell",,45
"WALTERS, Sean",,0
"POSEY, Cameron",,70
"OKAFOR, Chucks",,33
"HALL, Jason",,41
"DURDEN, Kenneth",,45
"SHELTON, RJ",,0
"STODDARD, Tyler",,44
"TURNER, De'Lance",,49
"WILKERSON, Bryce",,14
"WILLIAMS, Stanley",,0
"BENNETT, Lee",,42
"THOMAS, Dwayne",,0
"HUNTER, Monshadrik",,4
"MATHERS, L'Tavius",,0
"GLASS, Tyqwan",,22
"OMAMEH, Sydney",,0
"GIBSON, Torrance",,83
"MATIAS, Josue",,67
"COOPER, Shaquille",,0
"HORTON, Justin",,98
"MAXEY-PENTON, Aarion",,0
"ECHOLS, Cam",Winnipeg Blue Bombers,15
"LUPER, Je'Mari",,30
"ETLING, Danny",,0
"VEASY, Jordan",,18
"WILLIAMS, Taj",,0
"YOUNG, Domonique",,0
"JONES, Jarnor",,6
"JOSEPH, Junior",,0
"SALMON, Shaheed",,0
"HAM, Caleb",,16
"ROBERSON, Marcus",,43
"CHRISTION, Taryn",,3
"BROWN, Chris",,2
"BANKS, Brandon",,0
"HAYES, De'Chavon",,34
"PACE, Kendall",,0
"WHITE, Desmon",,0
"STAPLES, Jamari",,0
"LURRY, Shawun",,0
"WAUGH, Terence",,0
"CHERIDOR, Mackendy",,92
"WILLIAMS, Frankie",,1
"HAMILTON, Tim",,0
"COLLINS, Jalen",,33
"GIBBONS, Justin",,39
"SPENCER, Jalen",,0
"Franklin III, John",,81
"GAUSE, Quentin",,49
"CIOFFI, Anthony",,11
"HEBERT, Mathieu",,0
"STREVELER, Chris",Winnipeg Blue Bombers,17
"JONES, Datone",,0
"FOREMAN, Malik",,0
"CALVER, Brandon",,32
"HOLMAN, Justin",,6
"LAWLER, Kenny",Hamilton Tiger-Cats,89
"ANDERSON, Kevin",,0
"LANE, Ermon",,0
"BIRDSONG, Michael",,0
"CASSEUS, Clemente",,49
"ROBINSON, Cory",,0
"CENERINI, Leon",,0
"MOORE, Kyran",,84
"TATE, Khalil",,0
"GRAY, Donald",,0
"ROLLAND-JONES, Ja'Von",,91
"SWANN, Damian",,0
"RUSSOLINO, Taylor",,6
"SANSCARTIER, Keith",,0
"LUCIEN, Devin",,0
"WICK, Shaun",,32
"WOODARD, Jonathan",,99
"YOUNG, Tyler",,0
"MCEWEN, Jack",,0
"KLUKAS, Michael",,81
"ORIMOLADE, Folarin",Calgary Stampeders,7
"DAWSON, Paul",,35
"HARRIS, Nigel",,52
"HOMER, Tevin",,0
"MOXEY, Jonathan",Hamilton Tiger-Cats,6
"COOKUS, Case",,0
"OLUGBODE, Kenneth",,44
"ALLEN, Kenneth",,91
"NOIL, Devante",,0
"GRAY, Alex",,35
"THOMAS, Shamarko",,0
"LOTULELEI, Tau",,0
"HALL, Rannell",,0
"WALKER, Charles",,0
"WASHINGTON, Tony",,0
"GILCHRIST, Kennan",,54
"WALTON, Jonathan",,38
"HENRY-AJUDUA, Frederick",,90
"HAYNES, Akeem",,0
"USHER, Nick",,75
"NORTHRUP, Reggie",,48
"FLOYD, Tevin",,57
"KILLINGS, Dorian",,25
"BRISCOE, Jeremiah",,14
"VAUGHN, Terran",,65
"EPPERLY, Quinn",,0
"MULLANEY, Richard",,0
"STRIBLING, Channing",,14
"POLITE, Jacque",,0
"WACHA, Lucas",,43
"WESLEY, De'Ondre",,65
"TUCKER, Marcus",,15
"NELSON, Charles",,4
"JACKSON, Darius",,99
"BRAMSWIG, Jack",,71
"NORMAN, Dwayne",,36
"LESLIE, Darnell",,0
"MOORE, Jordan",,36
"COX, Bryan",Toronto Argonauts,40
"BANKS, Joshua",,92
"THOMAS, Jahad",,0
"JOHNSON, Anthony",,0
"JAMES, Nick",,93
"BROWN, Ryan",,98
"BINFORD, Harvey",,0
"BLACKMON, Dante",,38
"BRIGGS, Chauncey",,58
"THOMAS, Noel",,5
"POOLE, Terry",,62
"ROBERTSON, Pete",,40
"JONES, Jamaal",,0
"CROCKETT, Montay",,0
"NELSON, JR",,0
"WILDS, Brandon",,0
"MURPHY, Marcus",,20
"TRUESDELL, Nick",,72
"WHITEHEAD, Lucky",,13
"ROBINSON, Jamal",,88
"EPPS, Jonathan",,0
"SAYLES, Casey",Hamilton Tiger-Cats,44
"MARCUS, Jamal",,0
"CARRINGTON, Darren",,80
"HARRIS, Jordan",,43
"WILLIAMS, Tyler",,0
"STANFORD, Dwayne",,0
"REULAND, Austin",,38
"SCHNITZLER, Tom",,0
"HODGES, Devlin",,7
"MATHIS, Joe",,0
"MCMANUS, Ryan",,0
"THOMPSON, Demarcus",,0
"SEALES, Jhajuan",,0
"WILLIAMS, Karlos",,0
"NWACHUKWU, Noble",,0
"LONGINO, Antonio",,95
"WOLITARSKY, Drew",Hamilton Tiger-Cats,82
"SMITH, Teidrick",,94
"RADCLIFF, Brandon",,0
"BURTON, Jordan",,0
"WESTERKAMP, Jordan",,0
"LEWIS, Eugene",Ottawa Redblacks,87
"PACE, Daquan",,0
"HAYES, Daniel",,0
"SAYLES, Marcus",Saskatchewan Roughriders,8
"MCMANIS, Wynton",Toronto Argonauts,48
"BARTLETT, Brandyn",,52
"FEENEY, Travis",,30
"JOHNSON, Jamel",,81
"BARRIERE, Eric",,9
"LOUIE-MCGEE, Jerry",,0
"JONES, Tre",,70
"CURTIS, Cassidy",,64
"TRAINOR, Austin",,16
"ST. PIERRE, Solomon",,70
"COLLINS, Danny",,17
"WILLIAMS, Daniel",,86
"JONES, Jevaris",,48
"MEADE, Robbie",,48
"CAMPBELL, William",,69
"MAGGITT, Curt",,96
"MCFADDEN, Kimario",,46
"HODGES, Jonah",,32
"FARROW, JaDerrick",,40
"ROGERS, Jalen",,35
"DELOATCH, Romond",,0
"EVANS, Lance",,0
"RHYMES, Dominique",Calgary Stampeders,15
"AWOLEKE, Daniel",,55
"SABOURIN, Cole",,0
"LEVELS, Patrick",,3
"DRAUGHN, Armagedon",,37
"THURMAN, Jameer",Saskatchewan Roughriders,6
"KEITH, Cody",,6
"MCGASKEY, Tabari",,41
"OJALA, Carl",,0
"BROWN, Trevan",,58
"WILLIAMS, Sam",,37
"BOSTIC, Caleb",,98
"SANTOS-KNOX, Jovan",Ottawa Redblacks,5
"WALKER, Brian",,3
"LIGGINS, Justice",,82
"ANDERSON, Dres",,83
"KIELER, Kodi",,68
"VICTOR, Darius",,0
"SPELLER, Cody",,62
"WILSON, Dontre",,0
"BRANTLEY, Harold",,72
"TUGGLE, Justin",,42
"LANE, Jerome",,0
"LYLES, Chris",,21
"LAUDERDALE, Andrew",,62
"AWACHIE, Albert",Saskatchewan Roughriders,41
"LAURIN, Marc-Antoine",,0
"AUGUSTINE, Johnny",Hamilton Tiger-Cats,27
"SCOTT, Larry",,35
"HUBERT, Chris",,0
"WHITE, Palmer",,50
"ETTA-TAWO, Amba",,0
"CANNON, KD",,5
"LAUZON, Isaac",,49
"SINDANI, Richie",Toronto Argonauts,17
"HILLIS, Mitchell",,77
"MACKIE, Mark",,91
"THOMAS ERLINGTON, Sean",Montreal Alouettes,21
"TOURE, Oumar",,45
"GLAUDE, Marc",,51
"CARSON, Matthew",,96
"ILNICKI, Ed",,34
"LAURENSSE, Adam",,45
"HERDMAN-REED, Jordan",Toronto Argonauts,49
"THERA-PLAMONDON, Brendon",,83
"GOLDING, Brett",,65
"ADUSEI, Emmanuel",,61
"CRANSTON, Ty",,33
"CHEVRIER, Alexandre",,47
"HERDMAN-REED, Justin",Calgary Stampeders,59
"HARTLEY, Austen",,80
"GAGNON, Alexandre",,98
"BRUSH, Dakota",,41
"MAROUF, Ian",,91
"ASARE, Kwabena",,69
"RADFORD, Denzel",,14
"SCARFONE, Jacob",,82
"SPRUKULIS, Danny",,58
"CARTER, Malcolm",,88
"DUPUIS, Mathieu",,43
"GACUSANA, Felix Jr.",,64
"GODIN, Edward",,76
"BOATENG, Kwaku",,93
"ANNEN, Zach",,61
"VAUGHN, Justin",,92
"PICTON, Mitchell",Saskatchewan Roughriders,81
"ONYEKA, Nakas",,50
"BOURASSA, Louis-Philippe",Montreal Alouettes,50
"MENARD-BRIERE, Felix",,72
"HAMLIN, Nate",,25
"MEREDITH, Eddie",,58
"HOOVER, Jordan",,28
"MORRISON, Alexander",,84
"MILANOVIC-LITRE, Ante",Hamilton Tiger-Cats,34
"WOODSON, Robert",,7
"ADELEKE, Tunde",Ottawa Redblacks,1
"CHAGNON, Frederic",,49
"CONTEH, Abubakar",,37
"MULUMBA-TSHIMANGA, Christophe",,38
"OKAFOR, Kay",,72
"WRIGHT, Dondre",,25
"FOSTER, Evan",,91
"GOSSELIN, Anthony",Ottawa Redblacks,45
"LYNCH, Julan",,85
"ZVER, Jeremy",,64
"SPOONER, Qadr",,64
"ROY, Jean-Simon",,64
"SCHRAM, Braden",,69
"Ward, Lewis",Ottawa Redblacks,10
"FRIESEN, Brad",,0
"FOOTE, Fabion",,94
"BLADEK, Dariusz",Ottawa Redblacks,65
"WOODS, Mason",,63
"MARSHALL, Bilal",,78
"JOHNSON, Evan",,65
"GRAY, Geoff",,68
"LUKE, Junior",,45
"COLLING, Randy",,96
"BEHAR, Nathaniel",,82
"MCGOUGH, Connor",,93
"VANDERVOORT, Daniel",,83
"JUDGE, Cameron",Toronto Argonauts,8
"EKAKITIE, Faith",,93
"MAIAVA, Lene",,54
"BRADFORD, Carl",,0
"WALLS, Lakeith",,79
"KLINE, Zach",,14
"COBB, Larry",,84
"MATTHEWS, Trent",,40
"FIELDS, Devonte",,0
"MONCRIEF, Derrick",Calgary Stampeders,6
"COLES, Trenton",,43
"ROSS, Marvin",,17
"GREEN, Jacobi",,3
"CROSSAN, Dalton",,0
"FUGATE, Garrett",,19
"GOFORTH, Randall",,0
"STANBACK, William",Ottawa Redblacks,31
"MCMILLAN, Vantrel",,96
"HOLLOWELL, Delonte",,0
"JONES, JT",,0
"BURKS, Brandon",,35
"BREAUX, Devon",,85
"SWINDLE, Jordan",,60
"GORMAN, Jabari",,39
"REECE, Desmond",,85
"ALLEN, Eric",,0
"BALL, Reggis",,35
"ANTIGHA, Tobi",,5
"GRANT, Antwane",,85
"FULWOOD, Ahmad",,30
"GAGNE, Alexandre",Montreal Alouettes,34
"JAMES, Adrian",,30
"CASHER, Chris",,90
"WALKER, Darnell",,29
"BINGHAM, Zavian",,1
"MURRAY, Najee",Montreal Alouettes,12
"STONE, George",,45
"ALEXANDER, Brandon",,37
"COOPER, Mariel",,20
"ROBERSON, Kendall",,42
"DORLEANT, Makinton",,0
"THORPE, Tyrone",,14
"MCCLAIN, Antoine",,66
"PAULO, Darryl",,74
"LOWDER, Terrance",,81
"MORTON, KJ",,3
"CHAMBERS, Gary",,82
"TYLER, Ronald",,0
"APODACA, Austin",,4
"SCOTT, Bryan",,12
"ADAMS, Daniel",,89
"MARSHALL, Jamal",,35
"LONDON, Kent",,8
"MATHEWS, Ryker",,62
"BALTIMORE, Sherrod",,27
"LEWIS, Isaiah",,0
"GATLIN, Tavon",,0
"NORRILS, Cheatam",,40
"BLASER, Casey",,0
"STEVENSON, David",,0
"MAY, DJ",,6
"DUKE, Austin",,87
"ROSE, Mike",Saskatchewan Roughriders,42
"FINLEY, Tyran Devon",,30
"BEGELTON, Reggie",Calgary Stampeders,84
"NEAL, Davonte",,17
"WALKER, Kenny",,83
"LOUIS, Claudell",,91
"TURNBULL (N/C), Hunter",,37
"JONES, Corey",,9
"WILLIAMS, Mondo",,37
"IBEH, Kingsley",,90
"SEFON, Jordan",,47
"BELL, Malcolm",,0
"MCQUEEN, Mike",,57
"SIBLEY, Aaron",,31
"SHILTZ, Matt",Ottawa Redblacks,16
