name,team,jersey_number
"Thompson Jr., Sarodorick",,27
"ROSS, JJ",Edmonton Elks,29
"Pollier, Baptiste",,98
"Torrence, Roterius ""Ro""",,5
"Edwards, Daijun",,30
"VAUGHNS, Byron",,91
"Hill, Braxton",Hamilton Tiger-Cats,38
"Hood, Khaleb",,86
"Price, Jayden",,25
"Lawson-Greenwood, Marquise",,56
"Sao, Maepu",,14
"EILAND, Gregory",Edmonton Elks,63
"Strachan, Jordan",,90
"Elnagmi, Ezzat",,60
"Heimlicher, Jake",,0
"VAVAL, Trey",Winnipeg Blue Bombers,23
"Chatfield, Andrew",Toronto Argonauts,94
"Pitts Jr, Derrek",,0
"Alfano, Antonio",,99
"Harper, Nicario",,24
"HAMILTON, Cooper",Ottawa Redblacks,0
"Robustelli, Joe",Saskatchewan Roughriders,82
"SCATES, Joseph",,71
"Wallis, David",,79
"Gendron, Nicholas",,0
"Hooks, Shane",,89
"Brown, Jermaine",,25
"Fields III, Clay",,39
"Woodmansey, Curtis",,0
"ALLEN, Cam",Winnipeg Blue Bombers,0
"VENTRELLI, Donald",Montreal Alouettes,68
"Domineck, Jordan",,44
"Lavaud, Louis",,0
"Victor, Lincoln",,88
"Summers, Kahtero",Ottawa Redblacks,0
"Smith, Stephen",Toronto Argonauts,34
"ARTOPOEUS, Chase",Winnipeg Blue Bombers,12
"Wilson, Marquis",,0
"Ezeike, Michael",,0
"Hornibrook, Jake",,0
"Gervin, Kalon",,0
"Patterson, Decorian",,13
"Tupuola-Fetui, Zion",,98
"Stevenson, Kaine",,0
"Hackett, William",,
"Siegel, CJ",,
"Smith, Marje",,0
"Couch, Joe",,70
"Jones, Obadiah",,1
"Mueller, Owen",,0
"Banfield, Kaiden",,
"Davis, Zack",,0
"Nelmes, Tanner",,29
"MATHIS, Zach",Edmonton Elks,81
"NICHOLS, Preston",Calgary Stampeders,64
"Brown, Hunter",,0
"Hall, Alexander",,0
"Aduboffour, Richard",,70
"Berta, Ryan",,0
"MONTILUS, Ed",Calgary Stampeders,0
"CHISARI, Jared",,0
"DELISLE, Vincent",,29
"Hubert, Owen",Hamilton Tiger-Cats,47
"Shin, Daniel",,65
"Townsend, Mitchell",,50
"ST-CYR, Kaylyn",Calgary Stampeders,36
"Spencer, Jacob",,0
"Jamal, Mohsen",,0
"Vlahogiannis, Michael",,0
"Lavoie, Patrick",,0
"Kourtis, John",,56
"SOMBACH, Jackson",Calgary Stampeders,40
"Ajou, Ajou",Saskatchewan Roughriders,80
"Philion, Zachary",Ottawa Redblacks,44
"Anseeuw, Evan",Edmonton Elks,0
"Herzog, Michael",,40
"Gassama, Abdul-Karim",,81
"SAMBU, Justin",Calgary Stampeders,97
"GANYI, Terrence",BC Lions,43
"Giustini, Jonathan",,18
"Mimbs, D'Sean",Saskatchewan Roughriders,85
"GOUADFEL, Yani",,24
"Dankwah, Anim",Toronto Argonauts,65
"Antoine, Frederik",,80
"Onyeka, Ifenna",,0
"Dava, Kail",Hamilton Tiger-Cats,99
"Baker, Ryan",Hamilton Tiger-Cats,36
"Ouellette, Paul-Antoine",,0
"Johnson, Daniel",Saskatchewan Roughriders,65
"Kalra, Ethan",,0
"CUMMINGS, Jerrell",Edmonton Elks,28
"Malenfant, Maxim",,83
"Roane, Micah",,99
"LEROUX, Ian",Winnipeg Blue Bombers,42
"PETERSON, Matthew",Winnipeg Blue Bombers,22
"Bloomfield, Jahquan",,0
"Bell, Daniel",Hamilton Tiger-Cats,48
"JANVIER-MESSIER, Jason",Calgary Stampeders,71
"Straker, Melique",Saskatchewan Roughriders,28
"BLANCHARD, Vincent",Edmonton Elks,26
"MORKIN, Jaxon",Edmonton Elks,56
"HAMLIN, Arthur",Montreal Alouettes,33
"IDOKO, George",Calgary Stampeders,47
"Blackburn, Tyshon",Toronto Argonauts,0
"BEAULIEU, Cristophe",BC Lions,29
"Bosse, John",Toronto Argonauts,51
"Hergott, Tyson",Toronto Argonauts,96
"Duncan-Busby, Dhel",Saskatchewan Roughriders,18
"PIERRE, Dawson",Ottawa Redblacks,30
"MUEMBI, Olivier",Edmonton Elks,23
"SAMSON, Kyle",,92
"TIEIDE, Ezechiel",Toronto Argonauts,84
"HLADIK, Bradley",Edmonton Elks,35
"WALLACE, Gabe",Winnipeg Blue Bombers,61
"Brubacher, Luke",Hamilton Tiger-Cats,98
"CHRIS-IKE, Michael",Winnipeg Blue Bombers,25
"CLERCIUS, Kevens",Winnipeg Blue Bombers,86
"Wiebe, Nick",Saskatchewan Roughriders,43
"Okpoko, Daniel",Ottawa Redblacks,92
